"id","prefix","question","answer","unit","topic","explanation"
"CH259","CH","A circuit has XL = 35 Ω, XC = 140 Ω, and a source voltage U = 180 V. If the frequency is doubled, what is the voltage across R?","180","V","general_physics","Doubling the frequency makes the inductive reactance become 70 Ω and the capacitive reactance become 70 Ω. The net reactance is then zero, so the series circuit is at resonance. At resonance the resistor voltage equals the applied RMS voltage, giving 180 V."
"CH260","CH","In a series circuit, XL = 50 Ω, XC = 450 Ω, and the total voltage U = 240 V. When the frequency is tripled, what is the RMS voltage across R?","240","V","circuit_resistance","Tripling the frequency changes XL to 150 Ω and XC to 150 Ω. Since the reactances become equal, the circuit reaches resonance. In a resonant series circuit the whole source RMS voltage appears across the resistor, so the voltage across R is 240 V."
"CH261","CH","Given XL = 28 Ω, XC = 112 Ω, and the total supply voltage U = 130 V. If the frequency is doubled, what is the RMS voltage across the resistor?","130","V","general_physics","When frequency is doubled, inductive reactance doubles to 56 Ω and capacitive reactance halves to 56 Ω. The reactive parts cancel, placing the series circuit in resonance. Therefore the RMS voltage across the resistor is equal to the source voltage, 130 V."
"CH262","CH","In an RLC circuit, XL = 10 Ω, XC = 160 Ω, and the source voltage U = 120 V. If the frequency is increased by 4 times, what is the RMS voltage across the resistor R?","120","V","ac_resonance","Increasing frequency by a factor of four changes XL from 10 Ω to 40 Ω and XC from 160 Ω to 40 Ω. The circuit is then resonant because the reactances match. With zero net reactance, the resistor takes the full RMS source voltage, 120 V."
"CH263","CH","A circuit has XL = 7 Ω, XC = 112 Ω, and a total voltage U = 80 V. When the frequency is quadrupled (increased by a factor of 4), what is the RMS voltage across the resistor?","80","V","circuit_resistance","A fourfold frequency increase makes XL become 28 Ω and XC become 28 Ω. Equal inductive and capacitive reactances mean the series circuit is at resonance. At that point the RMS voltage on the resistor is the applied voltage itself, so the result is 80 V."
"CH264","CH","A series circuit has an inductive reactance XL = 5 Ω and a capacitive reactance XC = 180 Ω, with an applied RMS voltage of U = 100 V. If the frequency is increased by 6 times, what is the RMS voltage across R?","100","V","general_physics","Multiplying frequency by six changes the reactances in opposite directions: XL becomes 30 Ω and XC becomes 30 Ω. The reactances cancel exactly, so the circuit is resonant. The resistor then carries the full applied RMS voltage, giving 100 V."
"CH265","CH","A circuit consists of XL = 25 Ω, XC = 100 Ω, R = 40 Ω, U = 120 V. If the frequency is increased by 2 times, what is the effective current in the circuit?","3","A","general_physics","After the frequency doubles, XL becomes 50 Ω and XC becomes 50 Ω. The circuit reaches resonance, so its impedance is just the resistance R. The effective current is therefore I = U/R = 120/40 = 3 A."
"CH266","CH","A circuit has XL = 20 Ω, XC = 80 Ω, R = 30 Ω, U = 150 V. When the frequency is doubled, what is the RMS current?","5","A","general_physics","Doubling frequency changes the reactances to XL = 40 Ω and XC = 40 Ω. The net reactance is zero, so the series impedance equals R = 30 Ω. The RMS current is I = 150/30 = 5 A."
"CH267","CH","A circuit has XL = 30 Ω, XC = 270 Ω, R = 50 Ω, U = 200 V. If the frequency is increased by a factor of 3, what will be the RMS current in the circuit?","4","A","general_physics","Tripling frequency makes XL become 90 Ω and XC become 90 Ω. The circuit is therefore at resonance, where the impedance is only the resistor. Using I = U/R gives I = 200/50 = 4 A."
"CH269","CH","In a series circuit, XL = 15 Ω, XC = 135 Ω, R = 25 Ω, and the applied voltage U = 100 V. If the frequency is tripled, what will be the RMS current?","4","A","circuit_resistance","At three times the original frequency, XL changes to 45 Ω and XC changes to 45 Ω. Their equality gives resonance, so the impedance reduces to R = 25 Ω. The RMS current is 100/25 = 4 A."
"CH270","CH","A circuit has XL = 25 Ω, XC = 225 Ω, R = 75 Ω, U = 225 V. If the frequency (f) is tripled, what will be the RMS current in the circuit?","3","A","general_physics","When the frequency is tripled, the inductive reactance becomes 75 Ω and the capacitive reactance becomes 75 Ω. The series circuit is resonant, so current is limited only by R. Hence I = U/R = 225/75 = 3 A."
"CH272","CH","In a circuit, given XL = 5 Ω, XC = 20 Ω, R = 20 Ω, and U = 80 V. If the frequency is doubled, what is the RMS current (effective current)?","4","A","general_physics","Doubling the frequency changes XL to 10 Ω and XC to 10 Ω. This cancels the reactive part of the series impedance. The remaining impedance is R = 20 Ω, so the effective current is I = 80/20 = 4 A."
"CH274","CH","Given an AC circuit with inductive reactance XL = 30 Ω, capacitive reactance XC = 270 Ω, resistance R = 90 Ω, and an applied RMS voltage U = 270 V. If the frequency f is increased by 3 times, what will be the RMS current in the circuit?","3","A","circuit_resistance","Tripling the frequency turns XL into 90 Ω and XC into 90 Ω. Because the reactances are equal, the circuit becomes resonant. The impedance is then R = 90 Ω, so the RMS current is 270/90 = 3 A."
"CH276","CH","In a circuit, XL = 40 Ω, XC = 160 Ω, R = 60 Ω, U = 180 V. If the frequency f is doubled, what is the power dissipated across R?","540","W","circuit_power","At twice the frequency, XL becomes 80 Ω and XC becomes 80 Ω. The circuit is at resonance, so the RMS current is I = U/R = 180/60 = 3 A. The resistor power is P = I²R = 3²×60 = 540 W."
"CH277","CH","In an AC circuit, XL = 20 Ω, XC = 80 Ω, R = 30 Ω, and the applied voltage U = 150 V. If the frequency is doubled, what is the power dissipated by R?","750","W","circuit_power","Doubling frequency makes the two reactances equal at 40 Ω, so the circuit is resonant. The current becomes I = 150/30 = 5 A. The real power in the resistor is P = I²R = 25×30 = 750 W."
"CH278","CH","A circuit has XL = 15 Ω, XC = 135 Ω, R = 25 Ω, and U = 100 V. If the frequency is increased by 3 times, what is the power consumed by R?","400","W","circuit_power","After the frequency is tripled, XL and XC both become 45 Ω. The circuit is resonant and has impedance R = 25 Ω. The RMS current is 100/25 = 4 A, so the consumed power is P = 4²×25 = 400 W."
"CH279","CH","In an RLC circuit, XL = 30 Ω, XC = 270 Ω, R = 50 Ω, and the source voltage U = 200 V. If the frequency (f) is tripled, what is the power consumed by the resistor?","800","W","ac_resonance","Tripling the frequency changes the reactances to 90 Ω and 90 Ω, so the reactive terms cancel. At resonance the current is I = 200/50 = 4 A. The power consumed by R is P = I²R = 16×50 = 800 W."
