"id","prefix","question","answer","unit","topic","explanation"
"DT_AUG001","DT","A 3 nC charge is placed in a uniform electric field of 12000 V/m. Find the magnitude of the electric force on the charge.","36","μN","electrostatics_force","The force on a charge in a uniform electric field is F = |q|E. Convert 3 nC to 3×10^-9 C, then multiply by 12000 V/m. This gives 3×10^-9×12000 = 36×10^-6 N, or 36 μN."
"DT_AUG002","DT","A particle carrying 4 nC is inside a uniform electric field of 15000 V/m. What electric force magnitude acts on it?","60","μN","electrostatics_force","Use the magnitude relation F = |q|E. The charge is 4 nC = 4×10^-9 C, and the field is 15000 V/m. Multiplying gives F = 60×10^-6 N, so the force magnitude is 60 μN."
"DT_AUG003","DT","A 5 nC test charge experiences a uniform electric field of 18000 V/m. Calculate the electric force magnitude.","90","μN","electrostatics_force","The field force is proportional to both charge and field strength. Convert q = 5 nC to 5×10^-9 C and apply F = qE. The result is 5×10^-9×18000 = 90×10^-6 N, which is 90 μN."
"DT_AUG004","DT","In a uniform electric field of 20000 V/m, a charge of 6 nC is placed. Determine the force magnitude on the charge.","120","μN","electrostatics_force","For a charge in a uniform field, the magnitude of electric force is F = |q|E. With q = 6×10^-9 C and E = 20000 V/m, F = 120×10^-6 N. Therefore the force is 120 μN."
"DT_AUG005","DT","A small charged bead has q = 8 nC and is placed in a 12500 V/m electric field. Find the electric force magnitude.","100","μN","electrostatics_force","Convert the charge to coulombs before using F = |q|E. Here q = 8×10^-9 C and E = 12500 V/m. Their product is 100×10^-6 N, so the electric force magnitude is 100 μN."
"DT_AUG006","DT","A 9 nC charge is acted on by a uniform electric field of 16000 V/m. Calculate the magnitude of the electric force.","144","μN","electrostatics_force","The force magnitude is F = |q|E because the field is uniform. Using q = 9×10^-9 C and E = 16000 V/m gives F = 144×10^-6 N. Expressed in micro-newtons, this is 144 μN."
"DT_AUG007","DT","A point charge of 7 nC is placed in a uniform field of 14000 V/m. What is the magnitude of the force?","98","μN","electrostatics_force","Only the magnitude is requested, so use F = |q|E. Convert 7 nC to 7×10^-9 C, then multiply by 14000 V/m. The result is 98×10^-6 N, equal to 98 μN."
"DT_AUG008","DT","A 2 nC positive charge is placed in an electric field of 25000 V/m. Determine the electric force magnitude.","50","μN","electrostatics_force","The sign would determine direction, but the question asks for magnitude. Use F = |q|E with q = 2×10^-9 C and E = 25000 V/m. The force is 50×10^-6 N, or 50 μN."
"DT_AUG009","DT","A test charge q = 10 nC lies in a uniform electric field E = 9000 V/m. Calculate the force magnitude.","90","μN","electrostatics_force","Apply F = |q|E. The charge 10 nC is 10×10^-9 C, and the field is 9000 V/m. Multiplication gives 90×10^-6 N. Therefore the force magnitude is 90 μN."
"DT_AUG010","DT","A charge of 12 nC is in a uniform electric field of 8000 V/m. Find the magnitude of the electric force.","96","μN","electrostatics_force","The electric force in a uniform field is found from F = |q|E. Convert q = 12 nC to 12×10^-9 C. Then F = 12×10^-9×8000 = 96×10^-6 N, or 96 μN."
"DT_AUG011","DT","A 6 nC charge is placed in an electric field of 15000 V/m. What is the force magnitude on the charge?","90","μN","electrostatics_force","Use the direct field-force relation F = |q|E. With q = 6×10^-9 C and E = 15000 V/m, the product is 90×10^-6 N. Thus the force magnitude is 90 μN."
"DT_AUG012","DT","A tiny object has charge 5 nC and is placed in a field of 24000 V/m. Calculate the electric force magnitude.","120","μN","electrostatics_force","Convert the charge into coulombs: 5 nC = 5×10^-9 C. The field force magnitude is F = qE. Substitution gives F = 5×10^-9×24000 = 120×10^-6 N, so the answer is 120 μN."
"DT_AUG013","DT","A particle with charge 4 nC is in a 30000 V/m electric field. Find the magnitude of the force acting on it.","120","μN","electrostatics_force","For uniform electric fields, force magnitude equals charge magnitude times field strength. Use q = 4×10^-9 C and E = 30000 V/m. The result is 120×10^-6 N, which is 120 μN."
