"id","prefix","question","answer","unit","topic","explanation"
"CH146","CH","An AC voltage u = 200√2 cos 100πt (V) is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, and C = 10⁻⁴/(2π) F. Calculate the effective (or RMS) voltage of the source.","200","V","ac_resonance","The voltage expression gives the peak value directly from the coefficient of the cosine term. Since u = 200√2 cos 100πt, the maximum voltage is 200√2 V. The effective value of a sinusoidal voltage is the peak value divided by √2, so the RMS source voltage is 200 V."
"CH148","CH","A voltage u = 200√2 cos(100π t) V is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, C = 10⁻⁴ / (2π) F. Calculate the inductive reactance X_L of the inductor.","100","Ω","ac_resonance","The angular frequency is read from the cosine argument as ω = 100π rad/s. Inductive reactance is proportional to angular frequency and inductance, so X_L = ωL. Substituting L = 1/π H gives X_L = 100π × 1/π = 100 Ω."
"CH149","CH","A voltage u = 200√2 cos 100πt (V) is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, C = 10⁻⁴/(2π) F. Calculate the capacitive reactance XC of the capacitor.","200","Ω","ac_resonance","The source has angular frequency ω = 100π rad/s. For a capacitor in an AC circuit, the capacitive reactance is X_C = 1/(ωC). With C = 10⁻⁴/(2π) F, the product ωC equals 100π × 10⁻⁴/(2π) = 0.005, so X_C = 200 Ω."
"CH150","CH","A voltage u = 200√2 cos 100πt (V) is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, C = 10⁻⁴/(2π) F. Calculate the total impedance Z of the circuit.","141.4","Ω","ac_resonance","From the same circuit, X_L = 100 Ω and X_C = 200 Ω. In a series RLC circuit the impedance magnitude is Z = √(R² + (X_L - X_C)²). Here the net reactance is -100 Ω, so Z = √(100² + 100²) = 141.4 Ω."
"CH151","CH","A voltage u = 200√2 cos 100πt (V) is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, C = 10⁻⁴/(2π) F. Calculate the RMS (or effective) current I in the circuit.","1.414","A","ac_resonance","The source RMS voltage is 200 V, while the circuit impedance from the reactances is Z = √(100² + (100 - 200)²) = 141.4 Ω. The RMS current is therefore I = U/Z. Dividing 200 by 141.4 gives approximately 1.414 A."
"CH152","CH","A voltage u = 200√2 cos 100πt (V) is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, C = 10⁻⁴/(2π) F. Calculate the power factor cosφ.","0.707","-","ac_resonance","The resistance is 100 Ω and the impedance magnitude is 141.4 Ω. For a series RLC circuit, the power factor is cosφ = R/Z because only the resistive part dissipates real power. Thus cosφ = 100/141.4, which is about 0.707."
"CH153","CH","A voltage u = 200√2 cos 100πt (V) is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, and C = 10⁻⁴/(2π) F. Calculate the average power P consumed by the circuit.","200","W","ac_resonance","The effective voltage is 200 V and the RMS current is 1.414 A. The power factor is 0.707, equivalently the real power can be computed as I²R. Using P = I²R gives P = (1.414)² × 100, which is approximately 200 W."
"CH154","CH","A voltage u = 200√2 cos 100πt (V) is applied to a series RLC circuit with R = 100 Ω, L = 1/π H, C = 10⁻⁴/(2π) F. Calculate the RMS voltage across the inductor, UL","141.4","V","ac_resonance","The inductor reactance is X_L = 100 Ω and the RMS current in the series circuit is about 1.414 A. The RMS voltage across an inductor is U_L = I X_L. Multiplying 1.414 by 100 gives U_L = 141.4 V."
"CH156","CH","An RMS voltage U = 60 V is applied to a series RLC circuit with R = 40 Ω and currently in a state of resonance. Calculate the maximum RMS current Imax.","1.5","A","ac_resonance","At resonance in a series RLC circuit, the inductive and capacitive reactances cancel. The impedance is then purely resistive and equal to R. The maximum RMS current is obtained from Ohm's law, I_max = U/R = 60/40 = 1.5 A."
"CH157","CH","An RMS voltage U = 75 V is applied to a series RLC circuit with R = 50 Ω, which is in resonance. Calculate the maximum effective current Imax.","1.5","A","ac_resonance","Because the circuit is resonating, its net reactance is zero and the total impedance becomes R = 50 Ω. The effective current is largest under this condition. Applying I_max = U/R gives 75/50 = 1.5 A."
"CH158","CH","An RMS voltage U = 90 V is applied to a series RLC circuit with R = 60 Ω, and the circuit is at resonance. Calculate the maximum RMS current Imax.","1.5","A","ac_resonance","At resonance, a series RLC circuit behaves as a pure resistor for the source. The impedance is therefore 60 Ω rather than a larger reactive value. The maximum RMS current is I_max = 90/60 = 1.5 A."
"CH159","CH","An RMS voltage U = 112 V is applied to a series RLC circuit with R = 75 Ω which is currently at resonance. Calculate the maximum effective current Imax.","1.493","A","ac_resonance","The resonance condition removes the net reactive opposition, so the circuit impedance equals the resistance. Using the RMS values, I_max = U/R = 112/75. This division gives 1.493 A when rounded to three decimals."
"CH160","CH","An effective voltage U = 120 V is applied to a series RLC circuit with R = 80 Ω, operating at resonance. Calculate the maximum effective current Imax.","1.5","A","ac_resonance","For a resonant series RLC circuit, voltage and current are in phase and the impedance is just R. The effective current reaches its maximum value because no reactive term increases the impedance. Therefore I_max = 120/80 = 1.5 A."
"CH161","CH","Apply an effective voltage U = 135 V to a series RLC circuit with R = 90 Ω that is currently in a state of resonance. Calculate the maximum effective current Imax.","1.5","A","ac_resonance","The circuit is specified to be in resonance, so X_L and X_C cancel each other. The remaining opposition is the resistance 90 Ω. The effective current is I_max = U/R = 135/90, giving 1.5 A."
"CH162","CH","An RMS voltage U = 150 V is applied to a series RLC circuit with R = 100 Ω, which is at resonance. Calculate the maximum effective (RMS) current, Imax.","1.5","A","ac_resonance","At resonance, the impedance of the series RLC circuit is minimized and equals the resistor value. Thus the maximum effective current is found directly by I_max = U/R. With U = 150 V and R = 100 Ω, I_max = 1.5 A."
"CH163","CH","An RMS voltage U = 180 V is applied to a series RLC circuit with R = 120 Ω that is operating at resonance. Calculate the maximum effective current Imax.","1.5","A","ac_resonance","The resonance statement tells us that the reactive voltage drops balance in the impedance calculation. The total impedance seen by the source is therefore 120 Ω. The RMS current is 180/120, so the maximum effective current is 1.5 A."
"CH164","CH","Apply an RMS voltage U = 225 V to a series RLC circuit with R = 150 Ω, which is currently at resonance. Calculate the maximum effective current Imax.","1.5","A","ac_resonance","In a series RLC circuit at resonance, current is limited only by the resistor. Using RMS quantities consistently, I_max = U/R. Substituting 225 V and 150 Ω gives I_max = 225/150 = 1.5 A."
"CH165","CH","An RMS voltage U = 300 V is applied to a series RLC circuit with R = 200 Ω, and the circuit is in resonance. Calculate the maximum RMS current I_max.","1.5","A","ac_resonance","The resonant condition gives the smallest impedance in a series RLC circuit, equal to the resistance R. Therefore the RMS current is maximized and equals U/R. With 300 V across 200 Ω, the result is 1.5 A."
