"id","prefix","question","answer","unit","topic","explanation"
"DT001","DT","Two point charges, q1 and q2, are placed at points A and B, separated by 10 cm in air. Both charges have a magnitude of q1 = q2 = 16 x 10^-8 C. Determine the electric field strength produced by these two point charges at point M, where MA = MB = 5 cm.","0","V/m","electrostatics_field","Point M is the midpoint between two identical charges. The electric fields from the two charges at M have equal magnitude but opposite directions along AB. They cancel exactly, so the resultant electric field is 0 V/m."
"DT002","DT","Two point charges, q1 = q2 = 16 x 10^-8 C, are placed at points A and B, which are 10 cm apart in air. Determine the electric field strength due to these two point charges at point N, given that NA = 5 cm and NB = 15 cm.","640000","V/m","electrostatics_field","Point N lies on the line of the two equal charges but is closer to one charge. Use E = kq/r² for each charge and combine the fields with directions. The nearer charge contributes more strongly, giving a net field magnitude of 640000 V/m."
"DT003","DT","Two point charges, q1 = q2 = 16 x 10^-8 C, are placed at points A and B, which are 10 cm apart in the air. Determine the electric field strength caused by these two point charges at point C, given that AC = BC = 8 cm.","351000","V/m","electrostatics_field","Since C is equidistant from A and B, the two field magnitudes are equal. Their horizontal components cancel by symmetry, while the components along the perpendicular bisector add. Resolving the geometry of the isosceles triangle gives the resultant field 351000 V/m."
"DT004","DT","At two points A and B, separated by 10 cm in air, two electric charges q1 = q2 = 16 x 10^-8 C are placed. Determine the electric force acting on q3 = 2 x 10^-6 C, placed at C, given that AC = BC = 8 cm.","0.7","N","electrostatics_force","First determine the resultant electric field at C from the two equal charges. The equal field vectors combine along the symmetry direction rather than canceling completely. Multiplying the resultant field by q3 gives the force magnitude, which is 0.7 N."
"DT005","DT","At two points A and B, 10 cm apart in the air, two point charges are placed: q1 = 6 x 10^-6 C and q2 = -6 x 10^-6 C. Determine the electric field strength caused by these two charges at point C, given that AC = BC = 12 cm. Calculate the electric force acting on a charge q3 = -3 x 10^-8 C placed at C.","0.094","N","electrostatics_field","The charges have equal magnitude and opposite sign, so at the symmetric point C the perpendicular components cancel and the components along AB add. After finding the resultant electric field, the force on q3 is F = |q3|E. This gives 0.094 N."
"DT006","DT","Two point charges q1 = 4 x 10^-6 C and q2 = -6.4 x 10^-6 C, are placed at points A and B respectively, which are 20 cm apart in air. Determine the electric field strength due to these two charges at point C, given that AC = 12 cm and BC = 16 cm. Also, determine the electric force acting on a charge q3 = -5 x 10^-8 C when placed at C.","0.168","N","electrostatics_field","The distances AC and BC form a 12-16-20 right triangle, so the field directions are perpendicular. Compute E1 = k|q1|/AC² and E2 = k|q2|/BC², then combine them vectorially. The resulting field multiplied by |q3| gives the force 0.168 N."
"DT007","DT","Two electric charges q1 = q2 = q (with q > 0) are placed at two points A and B, with the distance AB = 2a (m). Point M is located on the perpendicular bisector of the line segment AB, at a distance h from AB. Determine the value of h for which the electric field strength at M is maximum, and calculate this value of h.","a/ \sqrt{2}","m","electrostatics_field","By symmetry, the horizontal field components cancel and the perpendicular components add. The field has the form proportional to h/(a² + h²)^(3/2). Maximizing that function with respect to h gives h = a/√2."
"DT008","DT","Two charges, q1 = q2 = q (where q > 0, in Coulombs), are placed at points A and B, with the distance AB = 2a (meters). Point M is located on the perpendicular bisector of the line segment AB, at a distance h from AB. Determine the magnitude of the electric field vector at point M. Given k = 9 × 10^9.","/frac{2k \abs{q} h}{(a^2 + h^2)^1.5}","V/m","electrostatics_field","Each charge is at distance √(a² + h²) from M. The horizontal components cancel, while the perpendicular components add. This gives E = 2(k|q|/(a² + h²))·h/√(a² + h²), or the stated expression."
"DT019","DT","Place four charges of the same magnitude q at the four vertices of a square ABCD with side length a. Positive charges are placed at A and C, and negative charges are placed at B and D. Determine the net electric field at the intersection of the square's two diagonals.","0","V/m","electrostatics_field","The square center is equidistant from all four charges. Opposite vertices have equal charges, and each pair produces equal and opposite fields at the center. The vector sum cancels completely, so the net field is 0 V/m."
"DT020","DT","Four charges of the same magnitude q (C) are placed at the four vertices of a square ABCD with side length a (m). Positive charges are placed at vertices A and D, and negative charges are placed at vertices B and C. Determine the resultant electric field strength at the intersection point of the two diagonals of the square.","\frac{4 \sqrt{2} k q}{\epsilon a^2}","V/m","electrostatics_field","At the square center, each charge is at distance a/√2. The individual field magnitudes are equal, and their vector components add along the direction set by the charge pattern. Combining the four contributions in the medium gives 4√2 kq/(εa²)."
