"id","prefix","question","answer","unit","topic","explanation"
"DDT331","DDT","An RLC series circuit consists of R = 10 Ω, L = 0.2 H, C = 50 μF, and the frequency f = 50 Hz. Calculate the impedance of the circuit.","10.03","Ω","LC_oscillation","Compute XL = 2πfL and XC = 1/(2πfC). At 50 Hz, the two reactances are nearly equal, so the net reactance is very small. The impedance magnitude is Z = √(R² + (XL - XC)²), giving 10.03 Ω."
"DDT332","DDT","A series RLC circuit is supplied by an AC source of 120 V, with a total impedance Z of 40 Ω. Calculate the RMS current.","3.0","A","LC_oscillation","The RMS current in an AC circuit follows I = U/Z. With U = 120 V and Z = 40 Ω, the current is 120/40. Therefore the RMS current is 3.0 A."
"DDT333","DDT","Given a series RLC circuit with R = 15 Ω and an RMS current of 2 A, what is the total RMS voltage across the circuit when it is operating at resonance?","30.0","V","ac_resonance","At resonance, the series RLC impedance is equal to R. The total RMS voltage is therefore U = IR. Substituting I = 2 A and R = 15 Ω gives U = 30.0 V."
"DDT334","DDT","An inductor L = 0.1 H is connected in series with a resistor R = 20 Ω. If the frequency is 60 Hz, what is the inductive reactance?","37.70","Ω","circuit_resistance","Inductive reactance is determined by frequency and inductance, not by the series resistor. Use XL = 2πfL. With f = 60 Hz and L = 0.1 H, XL = 37.70 Ω."
"DDT336","DDT","For a series RLC circuit, with an applied voltage U = 100 V and a current I = 4 A, calculate the total impedance Z.","25.0","Ω","LC_oscillation","For an AC series circuit, total impedance is defined by the RMS relation Z = U/I. The problem already gives the applied RMS voltage and current, so no separate reactance calculation is required. Substituting U = 100 V and I = 4 A gives Z = 25.0 Ω."
"DDT337","DDT","An RLC series circuit has R = 18 Ω and Z = 30 Ω. Calculate the power factor, cosφ.","0.60","-","ac_resonance","In a series RLC circuit, only the resistance represents the in-phase part of the impedance. Therefore the power factor is cosφ = R/Z. With R = 18 Ω and Z = 30 Ω, cosφ = 18/30 = 0.60."
"DDT338","DDT","Given R = 10 Ω and L = 0.2 H connected in series in a circuit operating at f = 50 Hz, determine the RMS voltage if the current is I = 1 A.","63.62","V","general_physics","First find the inductive reactance: XL = 2πfL = 62.83 Ω. The series RL impedance is Z = √(R² + XL²), about 63.62 Ω. With I = 1 A, the RMS voltage is U = IZ = 63.62 V."
"DDT339","DDT","An RLC series circuit has an impedance Z = 50 Ω, a resistance R = 30 Ω, and a source voltage of 150 V. Calculate the power consumed.","270.0","W","LC_oscillation","The RMS current is I = U/Z = 150/50 = 3 A. Real power is dissipated in the resistance, so P = I²R. This gives P = 3²×30 = 270.0 W."
"DDT340","DDT","Given a series circuit with R = 12 Ω, C = 80 μF, and a frequency of 60 Hz, determine the capacitive reactance and the power factor if the impedance Z = 40 Ω.","38.16 Ω and 0.30","-","general_physics","Use the given total impedance relation for the series circuit: Z² = R² + X_C². Therefore X_C = √(40² - 12²) = √1456 = 38.16 Ω. The power factor is cosφ = R/Z = 12/40 = 0.30."
"DDT341","DDT","Given an RLC series circuit with R = 20 Ω, L = 0.3 H, C = 60 μF, and a frequency of f = 50 Hz. Calculate the total impedance Z.","45.79","Ω","ac_resonance","Calculate XL = 2πfL and XC = 1/(2πfC). The net reactance is XL - XC, and the impedance is Z = √(R² + (XL - XC)²). Substituting the given values gives 45.79 Ω."
"DDT342","DDT","An RLC series circuit has an impedance Z = 45 Ω, and a voltage U = 90 V is applied across it. Calculate the RMS current.","2.0","A","ac_resonance","The total impedance is already known, so the RMS current follows directly from the AC form of Ohm's law. Use I = U/Z with U = 90 V and Z = 45 Ω. This gives I = 90/45 = 2.0 A."
"DDT343","DDT","Given a series RLC circuit has R = 16 Ω, Z = 40 Ω, calculate the power factor cosφ.","0.40","-","ac_resonance","The power factor measures the fraction of total impedance that is resistive and in phase with the current. For a series RLC circuit, cosφ = R/Z. Substituting R = 16 Ω and Z = 40 Ω gives cosφ = 0.40."
"DDT344","DDT","A circuit consists of an inductor L = 0.25 H in series with a resistor R = 10 Ω, at a frequency of 60 Hz. Calculate the inductive reactance Z_L.","94.25","Ω","LC_oscillation","Inductive reactance depends on the inductor and frequency, not on the series resistor. Use ZL = 2πfL. With f = 60 Hz and L = 0.25 H, ZL = 2π×60×0.25 = 94.25 Ω."
"DDT347","DDT","A series RLC circuit has R = 12 Ω, L = 0.2 H, and f = 50 Hz. Calculate Z if C = 50 μF.","12.03","Ω","ac_resonance","Find XL and XC at 50 Hz, then use Z = √(R² + (XL - XC)²). For these L and C values, the reactances nearly cancel. The remaining impedance is only slightly larger than R, giving 12.03 Ω."
"DDT349","DDT","Given a series circuit where the voltage U = 100 V and the current I = 2 A. Calculate the total impedance Z.","50.0","Ω","circuit_resistance","Impedance is the AC opposition corresponding to the ratio of RMS voltage to RMS current. Since both U and I are given, use Z = U/I directly. With 100 V applied and 2 A flowing, Z = 100/2 = 50.0 Ω."
"DDT350","DDT","Given a series RLC circuit with Z_L = 100 Ω and Z_C = 80 Ω, what characteristic does the circuit exhibit?","The circuit exhibits an inductive characteristic.","-","LC_oscillation","Compare the magnitudes of the inductive and capacitive reactances. Here ZL = 100 Ω is larger than ZC = 80 Ω, so the net reactance ZL - ZC is positive. A positive net reactance means the circuit behaves inductively."
"DDT351","DDT","What is the current in an LC circuit when the capacitor is maximally charged?","0","A","LC_oscillation","When the capacitor is maximally charged, all energy is stored in the electric field of the capacitor. At that instant the inductor current has momentarily fallen to zero. Therefore the current is 0 A."
"DDT352","DDT","When does the electric field energy stored in an LC circuit reach its maximum?","the charge Q reaches its maximum value","-","LC_oscillation","Electric field energy in the capacitor is W = Q²/(2C). Since C is fixed, this energy is largest when the charge magnitude is largest. Thus it reaches maximum when Q reaches its maximum value."
"DDT353","DDT","What is the expression for the energy of oscillation in an LC circuit?","U = 0.5*L*I_max²","J","LC_oscillation","At the instant when current is maximum, all electromagnetic energy is stored as magnetic energy in the inductor. The magnetic energy is 1/2 L I². Therefore the total oscillation energy can be written as U = 0.5*L*I_max²."
"DDT354","DDT","In an ideal LC circuit, is the total electromagnetic energy lost?","No","-","induction","In an ideal LC circuit, there is no resistance and no dissipative loss. Energy transfers between the capacitor electric field and the inductor magnetic field. Therefore the total electromagnetic energy is not lost."
"DDT356","DDT","How is the oscillation period of an LC circuit calculated?","T = 2π√(LC)","s","LC_oscillation","In an ideal LC circuit, the natural angular frequency is ω = 1/√(LC). The period is related to angular frequency by T = 2π/ω. Combining these gives T = 2π√(LC), with the result measured in seconds."
"DDT357","DDT","What is the voltage across the capacitor when the current in an LC circuit is at its maximum?","0","V","LC_oscillation","When current is maximum, the circuit energy is entirely magnetic in the inductor. The capacitor is momentarily discharged, so its charge is zero. Therefore the voltage across it is 0 V."
"DDT359","DDT","What is the unit of inductance L?","Henry","H","induction","Inductance is measured in the SI unit henry. A henry relates induced voltage to the rate of change of current. Therefore the unit of L is Henry, with symbol H."
"DDT360","DDT","What is the shape of the graph representing the electric field energy and magnetic field energy in an LC circuit?","Sinusoidal waves with a phase shift of π/2","-","induction","In an LC circuit, energy alternates between capacitor and inductor. The electric and magnetic energy variations are periodic and shifted in phase because one is maximum when the other is minimum. This is represented as sinusoidal waves with a phase shift of π/2."
"DDT361","DDT","Calculate the natural oscillation frequency for an LC circuit with L = 2 mH and C = 50 µF.","503.3","Hz","LC_oscillation","The natural frequency of an ideal LC oscillator is f = 1/(2π√LC). Convert L = 2 mH to 0.002 H and C = 50 µF to 50×10⁻⁶ F before substitution. Evaluating the expression gives approximately 503.3 Hz."
"DDT363","DDT","In an LC circuit, if the total energy is 0.02 J and the maximum current is 0.2 A, what is the inductance L?","1","H","LC_oscillation","At maximum current, total energy is magnetic: W = 1/2 L Imax². Rearranging gives L = 2W/Imax². With W = 0.02 J and Imax = 0.2 A, L = 1 H."
"DDT364","DDT","An oscillating circuit has a capacitance C = 2 µF, and the maximum voltage across the capacitor is 100 V. Calculate the maximum electric field energy (or maximum energy stored in the capacitor).","0.01","J","capacitor","At maximum capacitor voltage, the electric field energy in the capacitor is at its maximum. Use W = 1/2 C Umax² and convert C = 2 µF to 2×10⁻⁶ F. Then W = 0.5×2×10⁻⁶×100² = 0.01 J."
"DDT365","DDT","L = 4 mH, C = 250 µF. Calculate the angular frequency of oscillation.","1000","rad/s","LC_oscillation","The angular frequency of an ideal LC circuit is ω = 1/√(LC). Convert L = 4 mH to 0.004 H and C = 250 µF to 250×10⁻⁶ F. Since LC = 10⁻⁶, ω = 1000 rad/s."
"DDT366","DDT","The current in an LC circuit is given by the expression i = I₀cos(ωt). Given I₀ = 0.5 A and L = 0.2 H. Calculate the maximum magnetic energy.","0.025","J","induction","Magnetic energy in the inductor is largest when the current reaches its amplitude I0. Use Wmax = 1/2 L I0². With L = 0.2 H and I0 = 0.5 A, Wmax = 0.5×0.2×0.5² = 0.025 J."
"DDT367","DDT","Given C = 5 µF, the maximum charge on the capacitor is 2×10⁻⁴ C. Calculate the maximum voltage across the capacitor plates.","40","V","capacitor","For a capacitor, voltage and charge are related by U = Q/C. Convert C = 5 µF to 5×10⁻⁶ F, while Qmax is already in coulombs. Then Umax = 2×10⁻⁴/(5×10⁻⁶) = 40 V."
"DDT368","DDT","What is the oscillation frequency in an LC circuit if its period is 0.01 s?","100","Hz","LC_oscillation","Frequency and period are reciprocal quantities for any periodic oscillation. Since the LC period is T = 0.01 s, use f = 1/T. This gives f = 1/0.01 = 100 Hz."
"DDT370","DDT","A capacitor with a capacitance of 10 µF is charged to 50 V. Calculate the electric field energy in the capacitor.","0.0125","J","capacitor","The energy stored in a charged capacitor is W = 1/2 CU². Convert the capacitance to SI units: 10 µF = 10×10⁻⁶ F. Substituting U = 50 V gives W = 0.5×10×10⁻⁶×50² = 0.0125 J."
"DDT371","DDT","A long solenoid has 1000 turns and is 0.5 m long. Calculate the number of turns per unit length.","2000","turns/m","induction","The requested quantity is the turn density, so divide the total number of turns by the solenoid length. With N = 1000 and l = 0.5 m, n = 1000/0.5. This gives 2000 turns/m."
"DDT372","DDT","The current through the solenoid is 2 A, the number of turns per meter is 1500, and the permeability of free space is μ₀ = 4π×10⁻⁷. Calculate the magnetic field inside.","3.77×10⁻³","T","induction","The field inside an ideal long solenoid is proportional to both turn density and current. Substituting n = 1500 turns/m and I = 2 A into B = μ0nI gives B = 4π×10⁻⁷×1500×2. This equals 3.77×10⁻³ T."
